city_id,hexcluster_id,holiday_date,holiday_name,hour,label,lag_week_4,lag_week_5,lag_week_6,lag_week_1,lag_week_2,lag_week_3,matched_ref_val,dow,year
1005,8320598c-56d1-46a0-beb4-db14a4bb9b1a,2018-10-24,Birthday of Guru Balmik Sawami Ji,21,122.983333333,127.966666667,117.6,133.083333333,135.45,127.3,133.266666667,73.6666666667,2,2018
1005,8320598c-56d1-46a0-beb4-db14a4bb9b1a,2018-10-24,Birthday of Guru Balmik Sawami Ji,22,135.7,174.25,144.45,145.266666667,169.95,35.3333333334,138.166666667,80.9333333334,2,2018
1005,8320598c-56d1-46a0-beb4-db14a4bb9b1a,2018-10-24,Birthday of Guru Balmik Sawami Ji,23,132.616666667,167.75,138.7,126.3,145.833333333,41.6,197.233333333,101.883333333,2,2018
1472,2f9f6d6c-51cb-4ff6-9ee7-590db36304eb,2018-10-24,Birthday of Guru Balmik Sawami Ji,21,59.6333333333,56.0166666667,46.6,59.7333333334,43.3166666667,40.3666666667,46.1,38.1,2,2018
1472,2f9f6d6c-51cb-4ff6-9ee7-590db36304eb,2018-10-24,Birthday of Guru Balmik Sawami Ji,22,50.5333333334,51.7333333333,53.55,167.633333333,48.85,36.1666666667,49.8,61.5,2,2018
1472,2f9f6d6c-51cb-4ff6-9ee7-590db36304eb,2018-10-24,Birthday of Guru Balmik Sawami Ji,23,53.5166666666,48.4666666667,50.8666666667,63.5333333333,53.3166666667,31.6833333334,41.1833333333,35.7833333333,2,2018
1472,751f9aa5-4c19-4db2-98e9-a1109b58c5ca,2018-10-24,Birthday of Guru Balmik Sawami Ji,21,65.0166666666,20.2166666666,19.2166666666,47.3166666667,48.55,20.25,19.1333333333,11.1833333333,2,2018
1472,751f9aa5-4c19-4db2-98e9-a1109b58c5ca,2018-10-24,Birthday of Guru Balmik Sawami Ji,22,38.9,19.65,23.9333333333,54.75,31.6166666666,11.15,20.9333333333,17.6833333333,2,2018
1472,751f9aa5-4c19-4db2-98e9-a1109b58c5ca,2018-10-24,Birthday of Guru Balmik Sawami Ji,23,42.8166666667,21.8333333334,24.5666666667,28.25,24.05,8.91666666666,14.75,17.45,2,2018
1472,f0c1f901-2a80-4c59-b46e-e1b457a91bb8,2018-10-24,Birthday of Guru Balmik Sawami Ji,21,271.55,254.6,231.233333334,231.716666667,218.016666667,225.816666667,255.4,188.133333333,2,2018
1472,f0c1f901-2a80-4c59-b46e-e1b457a91bb8,2018-10-24,Birthday of Guru Balmik Sawami Ji,22,293.583333333,247.5,224.533333334,246.85,273.05,137.516666667,239.383333333,271.316666667,2,2018
1472,f0c1f901-2a80-4c59-b46e-e1b457a91bb8,2018-10-24,Birthday of Guru Balmik Sawami Ji,23,272.583333333,240.5,233.766666667,293.05,294.6,149.2,186.75,194.233333333,2,2018
1472,b6e5e2b1-0f30-407c-8340-72054076b352,2018-10-24,Birthday of Guru Balmik Sawami Ji,21,4.68333333333,5.85,2.98333333333,2.16666666667,4.86666666666,4.28333333333,7.76666666667,8.25,2,2018
1472,b6e5e2b1-0f30-407c-8340-72054076b352,2018-10-24,Birthday of Guru Balmik Sawami Ji,22,4.35,5.83333333333,7.91666666667,5.03333333333,5.65,8.7,4.55,7.33333333333,2,2018
1472,b6e5e2b1-0f30-407c-8340-72054076b352,2018-10-24,Birthday of Guru Balmik Sawami Ji,23,6.85,5.48333333333,4.46666666666,3.95,3.56666666667,6.0,6.96666666667,7.86666666666,2,2018
1472,23c7adf0-b649-4199-aa01-306c18a0b4e1,2018-10-24,Birthday of Guru Balmik Sawami Ji,21,58.7,64.9666666667,53.0333333333,68.4,55.0833333333,39.5833333333,72.1166666667,50.8,2,2018
1472,23c7adf0-b649-4199-aa01-306c18a0b4e1,2018-10-24,Birthday of Guru Balmik Sawami Ji,22,62.7,45.4833333333,61.4333333333,64.4666666667,76.25,28.7833333333,65.5166666666,58.6,2,2018
1472,23c7adf0-b649-4199-aa01-306c18a0b4e1,2018-10-24,Birthday of Guru Balmik Sawami Ji,23,76.15,61.5,59.3833333334,67.6333333333,68.8833333334,23.75,59.75,96.85,2,2018
1472,b750658f-886b-49a6-915a-1f859a7fd41f,2018-10-24,Birthday of Guru Balmik Sawami Ji,21,327.55,332.033333333,303.266666667,384.85,307.0,266.033333333,359.883333334,218.7,2,2018
1472,b750658f-886b-49a6-915a-1f859a7fd41f,2018-10-24,Birthday of Guru Balmik Sawami Ji,22,422.833333334,289.616666666,317.083333334,321.166666667,391.383333334,189.233333333,325.95,329.533333333,2,2018
1472,b750658f-886b-49a6-915a-1f859a7fd41f,2018-10-24,Birthday of Guru Balmik Sawami Ji,23,363.166666667,303.816666667,350.15,383.733333334,375.983333334,198.783333333,224.916666667,206.433333333,2,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,0,112.866666667,114.366666667,104.533333333,95.6333333333,132.45,114.333333333,152.083333333,95.8,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,1,97.8,116.416666667,126.416666667,118.15,130.533333333,137.883333333,129.266666667,54.3833333333,1,2018
